Id,invoice_date,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin
45,18/03/2020,Women's Street Footwear,50.00 ,950,"4,75,000 ","1,66,250 ",35%
46,31/03/2020,Women's Athletic Footwear,50.00 ,925,"4,62,500 ","1,61,875 ",35%
47,17/04/2020,Men's Apparel,60.00 ,900,"5,40,000 ","1,62,000 ",30%
48,18/04/2020,Women's Apparel,65.00 ,1075,"6,98,750 ","1,74,688 ",25%
49,19/04/2020,Men's Street Footwear,60.00 ,1200,"7,20,000 ","3,60,000 ",50%
50,20/04/2020,Men's Athletic Footwear,55.00 ,1000,"5,50,000 ","1,65,000 ",30%
51,21/04/2020,Women's Street Footwear,50.00 ,925,"4,62,500 ","1,61,875 ",35%
52,22/04/2020,Women's Athletic Footwear,50.00 ,900,"4,50,000 ","1,57,500 ",35%
53,23/04/2020,Men's Apparel,60.00 ,900,"5,40,000 ","1,62,000 ",30%
54,24/04/2020,Women's Apparel,65.00 ,1000,"6,50,000 ","1,62,500 ",25%
55,25/04/2020,Men's Apparel,65.00 ,875,"5,68,750 ","1,70,625 ",30%
56,26/04/2020,Women's Apparel,70.00 ,1000,"7,00,000 ","1,75,000 ",25%
57,27/04/2020,Men's Street Footwear,65.00 ,1150,"7,47,500 ","3,73,750 ",50%
58,28/04/2020,Men's Athletic Footwear,55.00 ,975,"5,36,250 ","1,60,875 ",30%
59,29/04/2020,Women's Street Footwear,55.00 ,920,"5,06,000 ","1,77,100 ",35%
60,30/04/2020,Women's Athletic Footwear,55.00 ,900,"4,95,000 ","1,73,250 ",35%
61,01/05/2020,Men's Apparel,65.00 ,875,"5,68,750 ","1,70,625 ",30%
62,02/05/2020,Women's Apparel,70.00 ,975,"6,82,500 ","1,70,625 ",25%
63,03/05/2020,Men's Street Footwear,65.00 ,1200,"7,80,000 ","3,90,000 ",50%
64,04/05/2020,Men's Athletic Footwear,55.00 ,1000,"5,50,000 ","1,65,000 ",30%
65,05/05/2020,Women's Street Footwear,55.00 ,950,"5,22,500 ","1,82,875 ",35%
66,06/05/2020,Women's Athletic Footwear,55.00 ,900,"4,95,000 ","1,73,250 ",35%
67,07/05/2020,Men's Apparel,65.00 ,900,"5,85,000 ","1,75,500 ",30%
68,18/07/2020,Women's Apparel,70.00 ,1000,"7,00,000 ","1,75,000 ",25%
69,19/07/2020,Men's Street Footwear,25.00 ,900,"2,25,000 ","78,750 ",35%
70,20/07/2020,Men's Athletic Footwear,35.00 ,900,"3,15,000 ","1,10,250 ",35%
71,21/07/2020,Women's Street Footwear,35.00 ,700,"2,45,000 ","85,750 ",35%
72,22/07/2020,Women's Athletic Footwear,35.00 ,700,"2,45,000 ","1,10,250 ",45%
73,23/07/2020,Men's Apparel,40.00 ,550,"2,20,000 ","66,000 ",30%
74,24/07/2020,Women's Apparel,35.00 ,700,"2,45,000 ","1,22,500 ",50%
75,25/07/2020,Men's Street Footwear,25.00 ,850,"2,12,500 ","74,375 ",35%
76,26/07/2020,Men's Athletic Footwear,35.00 ,850,"2,97,500 ","1,04,125 ",35%
77,27/07/2020,Women's Street Footwear,35.00 ,675,"2,36,250 ","82,688 ",35%
78,28/07/2020,Women's Athletic Footwear,35.00 ,625,"2,18,750 ","98,438 ",45%
79,29/07/2020,Men's Apparel,40.00 ,500,"2,00,000 ","60,000 ",30%
80,30/07/2020,Women's Apparel,35.00 ,700,"2,45,000 ","1,22,500 ",50%
81,31/07/2020,Men's Street Footwear,30.00 ,875,"2,62,500 ","91,875 ",35%
82,01/08/2020,Men's Athletic Footwear,40.00 ,875,"3,50,000 ","1,22,500 ",35%
83,02/08/2020,Women's Street Footwear,35.00 ,700,"2,45,000 ","85,750 ",35%
84,03/08/2020,Women's Athletic Footwear,40.00 ,600,"2,40,000 ","1,08,000 ",45%
85,04/08/2020,Men's Apparel,45.00 ,500,"2,25,000 ","67,500 ",30%
86,05/08/2020,Women's Apparel,40.00 ,650,"2,60,000 ","1,30,000 ",50%
87,06/08/2020,Men's Street Footwear,30.00 ,900,"2,70,000 ","94,500 ",35%
88,07/08/2020,Men's Athletic Footwear,40.00 ,900,"3,60,000 ","1,26,000 ",35%
89,08/08/2020,Women's Street Footwear,35.00 ,725,"2,53,750 ","88,813 ",35%
90,09/08/2020,Women's Athletic Footwear,40.00 ,625,"2,50,000 ","1,12,500 ",45%
91,10/08/2020,Men's Apparel,45.00 ,525,"2,36,250 ","70,875 ",30%
92,11/08/2020,Women's Apparel,40.00 ,800,"3,20,000 ","1,60,000 ",50%
93,12/08/2020,Men's Street Footwear,30.00 ,925,"2,77,500 ","97,125 ",35%
94,13/08/2020,Men's Athletic Footwear,40.00 ,925,"3,70,000 ","1,29,500 ",35%
95,14/08/2020,Women's Street Footwear,35.00 ,775,"2,71,250 ","94,938 ",35%
96,15/08/2020,Women's Athletic Footwear,40.00 ,700,"2,80,000 ","1,26,000 ",45%
97,16/08/2020,Men's Apparel,45.00 ,600,"2,70,000 ","81,000 ",30%
98,17/08/2020,Women's Apparel,40.00 ,950,"3,80,000 ","1,90,000 ",50%
99,18/08/2020,Men's Street Footwear,40.00 ,950,"3,80,000 ","1,33,000 ",35%
100,19/08/2020,Men's Athletic Footwear,45.00 ,950,"4,27,500 ","1,49,625 ",35%
101,20/08/2020,Women's Street Footwear,40.00 ,800,"3,20,000 ","1,12,000 ",35%
102,21/08/2020,Women's Athletic Footwear,40.00 ,750,"3,00,000 ","1,35,000 ",45%
103,22/08/2020,Men's Apparel,45.00 ,650,"2,92,500 ","87,750 ",30%
104,23/08/2020,Women's Apparel,50.00 ,1000,"5,00,000 ","2,50,000 ",50%
105,24/08/2020,Men's Street Footwear,40.00 ,950,"3,80,000 ","1,33,000 ",35%
106,25/08/2020,Men's Athletic Footwear,45.00 ,950,"4,27,500 ","1,49,625 ",35%
107,26/08/2020,Women's Street Footwear,40.00 ,1100,"4,40,000 ","1,54,000 ",35%
108,27/08/2020,Women's Athletic Footwear,40.00 ,700,"2,80,000 ","1,26,000 ",45%
109,28/08/2020,Men's Apparel,45.00 ,700,"3,15,000 ","94,500 ",30%
110,29/08/2020,Women's Apparel,50.00 ,975,"4,87,500 ","2,43,750 ",50%
111,30/08/2020,Men's Street Footwear,40.00 ,925,"3,70,000 ","1,29,500 ",35%
112,31/08/2020,Men's Athletic Footwear,45.00 ,925,"4,16,250 ","1,45,688 ",35%
113,01/09/2020,Women's Street Footwear,40.00 ,1100,"4,40,000 ","1,54,000 ",35%
114,02/09/2020,Women's Athletic Footwear,40.00 ,650,"2,60,000 ","1,17,000 ",45%
115,03/09/2020,Men's Apparel,45.00 ,650,"2,92,500 ","87,750 ",30%
116,04/09/2020,Women's Apparel,50.00 ,900,"4,50,000 ","2,25,000 ",50%
117,05/09/2020,Men's Street Footwear,45.00 ,850,"3,82,500 ","1,33,875 ",35%
118,06/09/2020,Men's Athletic Footwear,45.00 ,850,"3,82,500 ","1,33,875 ",35%
119,07/09/2020,Women's Street Footwear,50.00 ,900,"4,50,000 ","1,57,500 ",35%
120,08/09/2020,Women's Athletic Footwear,50.00 ,625,"3,12,500 ","1,40,625 ",45%
121,09/09/2020,Men's Apparel,45.00 ,625,"2,81,250 ","84,375 ",30%
122,10/09/2020,Women's Apparel,55.00 ,850,"4,67,500 ","2,33,750 ",50%
123,11/09/2020,Men's Street Footwear,45.00 ,800,"3,60,000 ","1,26,000 ",35%
124,12/09/2020,Men's Athletic Footwear,45.00 ,800,"3,60,000 ","1,26,000 ",35%
125,13/09/2020,Women's Street Footwear,50.00 ,750,"3,75,000 ","1,31,250 ",35%
126,14/09/2020,Women's Athletic Footwear,50.00 ,600,"3,00,000 ","1,35,000 ",45%
127,15/09/2020,Men's Apparel,45.00 ,575,"2,58,750 ","77,625 ",30%
128,16/09/2020,Women's Apparel,55.00 ,750,"4,12,500 ","2,06,250 ",50%
129,20/10/2020,Men's Street Footwear,45.00 ,900,"4,05,000 ","1,41,750 ",35%
130,21/10/2020,Men's Athletic Footwear,45.00 ,900,"4,05,000 ","1,41,750 ",35%
131,22/10/2020,Women's Street Footwear,50.00 ,825,"4,12,500 ","1,44,375 ",35%
132,23/10/2020,Women's Athletic Footwear,50.00 ,675,"3,37,500 ","1,51,875 ",45%
133,24/10/2020,Men's Apparel,45.00 ,650,"2,92,500 ","87,750 ",30%
134,25/10/2020,Women's Apparel,55.00 ,850,"4,67,500 ","2,33,750 ",50%
135,26/10/2020,Men's Street Footwear,45.00 ,950,"4,27,500 ","1,49,625 ",35%
136,27/10/2020,Men's Athletic Footwear,45.00 ,950,"4,27,500 ","1,49,625 ",35%
137,28/10/2020,Women's Street Footwear,50.00 ,850,"4,25,000 ","1,48,750 ",35%
138,29/10/2020,Women's Athletic Footwear,50.00 ,700,"3,50,000 ","1,57,500 ",45%
139,30/10/2020,Men's Apparel,45.00 ,650,"2,92,500 ","87,750 ",30%
140,31/10/2020,Women's Apparel,55.00 ,900,"4,95,000 ","2,47,500 ",50%
141,01/11/2020,Men's Street Footwear,40.00 ,775,"3,10,000 ","1,08,500 ",35%
142,02/11/2020,Men's Athletic Footwear,50.00 ,775,"3,87,500 ","77,500 ",20%
143,03/11/2020,Women's Street Footwear,50.00 ,775,"3,87,500 ","1,35,625 ",35%
144,04/11/2020,Women's Athletic Footwear,50.00 ,625,"3,12,500 ","93,750 ",30%
145,05/11/2020,Men's Apparel,55.00 ,575,"3,16,250 ","1,58,125 ",50%
146,06/11/2020,Women's Apparel,50.00 ,775,"3,87,500 ","58,125 ",15%
147,07/11/2020,Men's Street Footwear,40.00 ,825,"3,30,000 ","1,15,500 ",35%
148,08/11/2020,Men's Athletic Footwear,50.00 ,725,"3,62,500 ","72,500 ",20%
149,09/11/2020,Women's Street Footwear,50.00 ,725,"3,62,500 ","1,26,875 ",35%
150,10/11/2020,Women's Athletic Footwear,50.00 ,575,"2,87,500 ","86,250 ",30%
151,11/11/2020,Men's Apparel,55.00 ,500,"2,75,000 ","1,37,500 ",50%
152,12/11/2020,Women's Apparel,50.00 ,700,"3,50,000 ","52,500 ",15%
153,13/11/2020,Men's Street Footwear,50.00 ,850,"4,25,000 ","1,48,750 ",35%
154,14/11/2020,Men's Athletic Footwear,60.00 ,700,"4,20,000 ","84,000 ",20%
155,15/11/2020,Women's Street Footwear,60.00 ,700,"4,20,000 ","1,47,000 ",35%
156,22/12/2020,Women's Athletic Footwear,60.00 ,600,"3,60,000 ","1,08,000 ",30%
157,23/12/2020,Men's Apparel,65.00 ,500,"3,25,000 ","1,62,500 ",50%
158,24/12/2020,Women's Apparel,60.00 ,700,"4,20,000 ","63,000 ",15%
159,25/12/2020,Men's Street Footwear,60.00 ,875,"5,25,000 ","1,83,750 ",35%
160,26/12/2020,Men's Athletic Footwear,65.00 ,675,"4,38,750 ","87,750 ",20%
161,27/12/2020,Women's Street Footwear,65.00 ,725,"4,71,250 ","1,64,938 ",35%
162,28/12/2020,Women's Athletic Footwear,60.00 ,625,"3,75,000 ","1,12,500 ",30%
163,29/12/2020,Men's Apparel,65.00 ,525,"3,41,250 ","1,70,625 ",50%
164,30/12/2020,Women's Apparel,80.00 ,700,"5,60,000 ","84,000 ",15%
165,31/12/2020,Men's Street Footwear,60.00 ,900,"5,40,000 ","2,16,000 ",40%
166,01/01/2021,Men's Athletic Footwear,65.00 ,750,"4,87,500 ","1,21,875 ",25%
167,02/01/2021,Women's Street Footwear,65.00 ,750,"4,87,500 ","1,95,000 ",40%
168,03/01/2021,Women's Athletic Footwear,60.00 ,650,"3,90,000 ","1,36,500 ",35%
169,04/01/2021,Men's Apparel,65.00 ,550,"3,57,500 ","1,96,625 ",55%
170,05/01/2021,Women's Apparel,80.00 ,725,"5,80,000 ","1,16,000 ",20%
171,06/01/2021,Men's Street Footwear,60.00 ,975,"5,85,000 ","2,34,000 ",40%
172,07/01/2021,Men's Athletic Footwear,65.00 ,825,"5,36,250 ","1,34,063 ",25%
173,08/01/2021,Women's Street Footwear,65.00 ,825,"5,36,250 ","2,14,500 ",40%
174,09/01/2021,Women's Athletic Footwear,60.00 ,700,"4,20,000 ","1,47,000 ",35%
175,10/01/2021,Men's Apparel,65.00 ,575,"3,73,750 ","2,05,563 ",55%
176,11/01/2021,Women's Apparel,80.00 ,875,"7,00,000 ","1,40,000 ",20%
177,12/01/2021,Men's Street Footwear,60.00 ,1025,"6,15,000 ","2,15,250 ",35%
178,13/01/2021,Men's Athletic Footwear,65.00 ,875,"5,68,750 ","1,13,750 ",20%
179,14/01/2021,Women's Street Footwear,65.00 ,825,"5,36,250 ","1,87,688 ",35%
180,15/01/2021,Women's Athletic Footwear,60.00 ,725,"4,35,000 ","1,30,500 ",30%
181,16/01/2021,Men's Apparel,65.00 ,775,"5,03,750 ","2,51,875 ",50%
182,17/01/2021,Women's Apparel,80.00 ,775,"6,20,000 ","93,000 ",15%
183,18/01/2021,Men's Street Footwear,65.00 ,975,"6,33,750 ","2,21,813 ",35%
184,19/01/2021,Men's Athletic Footwear,70.00 ,925,"6,47,500 ","1,29,500 ",20%
185,20/01/2021,Women's Street Footwear,65.00 ,800,"5,20,000 ","1,82,000 ",35%
186,21/01/2021,Women's Athletic Footwear,65.00 ,750,"4,87,500 ","1,46,250 ",30%
187,22/01/2021,Men's Apparel,75.00 ,750,"5,62,500 ","2,81,250 ",50%
188,23/01/2021,Women's Apparel,80.00 ,725,"5,80,000 ","87,000 ",15%
189,24/01/2021,Men's Street Footwear,55.00 ,925,"5,08,750 ","1,52,625 ",30%
190,25/01/2021,Men's Athletic Footwear,60.00 ,925,"5,55,000 ","83,250 ",15%
191,26/01/2021,Women's Street Footwear,55.00 ,775,"4,26,250 ","1,27,875 ",30%
192,27/01/2021,Women's Athletic Footwear,55.00 ,725,"3,98,750 ","99,688 ",25%
193,28/01/2021,Men's Apparel,65.00 ,725,"4,71,250 ","2,12,063 ",45%
194,29/01/2021,Women's Apparel,70.00 ,775,"5,42,500 ","54,250 ",10%
195,30/01/2021,Men's Street Footwear,55.00 ,875,"4,81,250 ","1,44,375 ",30%
196,31/01/2021,Men's Athletic Footwear,60.00 ,875,"5,25,000 ","78,750 ",15%
197,01/02/2021,Women's Street Footwear,55.00 ,700,"3,85,000 ","1,15,500 ",30%
198,02/02/2021,Women's Athletic Footwear,55.00 ,675,"3,71,250 ","92,813 ",25%
199,03/02/2021,Men's Apparel,65.00 ,650,"4,22,500 ","1,90,125 ",45%
200,04/02/2021,Women's Apparel,70.00 ,700,"4,90,000 ","49,000 ",10%
201,05/02/2021,Men's Street Footwear,55.00 ,875,"4,81,250 ","1,44,375 ",30%
202,06/02/2021,Men's Athletic Footwear,60.00 ,875,"5,25,000 ","78,750 ",15%
203,07/02/2021,Women's Street Footwear,55.00 ,725,"3,98,750 ","1,19,625 ",30%
204,08/02/2021,Women's Athletic Footwear,55.00 ,700,"3,85,000 ","96,250 ",25%
205,09/02/2021,Men's Apparel,65.00 ,650,"4,22,500 ","1,90,125 ",45%
206,10/02/2021,Women's Apparel,70.00 ,775,"5,42,500 ","54,250 ",10%
207,11/02/2021,Men's Street Footwear,55.00 ,975,"5,36,250 ","1,60,875 ",30%
208,12/02/2021,Men's Athletic Footwear,60.00 ,975,"5,85,000 ","87,750 ",15%
209,13/02/2021,Women's Street Footwear,55.00 ,775,"4,26,250 ","1,27,875 ",30%
210,14/02/2021,Women's Athletic Footwear,55.00 ,775,"4,26,250 ","1,06,563 ",25%
211,15/02/2021,Men's Apparel,65.00 ,700,"4,55,000 ","2,04,750 ",45%
212,16/02/2021,Women's Apparel,70.00 ,800,"5,60,000 ","56,000 ",10%
213,17/02/2021,Men's Street Footwear,35.00 ,700,"2,45,000 ","98,000 ",40%
214,18/02/2021,Men's Athletic Footwear,45.00 ,700,"3,15,000 ","78,750 ",25%
215,09/03/2021,Women's Street Footwear,45.00 ,700,"3,15,000 ","1,26,000 ",40%
216,10/03/2021,Women's Athletic Footwear,45.00 ,550,"2,47,500 ","86,625 ",35%
217,11/03/2021,Men's Apparel,50.00 ,500,"2,50,000 ","1,37,500 ",55%
218,12/03/2021,Women's Apparel,45.00 ,700,"3,15,000 ","63,000 ",20%
219,13/03/2021,Men's Street Footwear,35.00 ,750,"2,62,500 ","1,05,000 ",40%
220,14/03/2021,Men's Athletic Footwear,45.00 ,650,"2,92,500 ","73,125 ",25%
221,15/03/2021,Women's Street Footwear,45.00 ,675,"3,03,750 ","1,21,500 ",40%
222,16/03/2021,Women's Athletic Footwear,45.00 ,525,"2,36,250 ","82,688 ",35%
223,17/03/2021,Men's Apparel,50.00 ,450,"2,25,000 ","1,23,750 ",55%
224,18/03/2021,Women's Apparel,45.00 ,650,"2,92,500 ","58,500 ",20%
225,19/03/2021,Men's Street Footwear,35.00 ,800,"2,80,000 ","1,12,000 ",40%
226,20/03/2021,Men's Athletic Footwear,45.00 ,650,"2,92,500 ","73,125 ",25%
227,21/03/2021,Women's Street Footwear,45.00 ,650,"2,92,500 ","1,17,000 ",40%
228,22/03/2021,Women's Athletic Footwear,45.00 ,550,"2,47,500 ","86,625 ",35%
229,23/03/2021,Men's Apparel,50.00 ,425,"2,12,500 ","1,16,875 ",55%
230,06/04/2021,Women's Apparel,45.00 ,625,"2,81,250 ","56,250 ",20%
231,07/04/2021,Men's Street Footwear,45.00 ,800,"3,60,000 ","1,44,000 ",40%
232,08/04/2021,Men's Athletic Footwear,50.00 ,600,"3,00,000 ","75,000 ",25%
233,09/04/2021,Women's Street Footwear,50.00 ,625,"3,12,500 ","1,25,000 ",40%
234,10/04/2021,Women's Athletic Footwear,45.00 ,525,"2,36,250 ","82,688 ",35%
235,11/04/2021,Men's Apparel,50.00 ,425,"2,12,500 ","1,16,875 ",55%
236,12/04/2021,Women's Apparel,65.00 ,600,"3,90,000 ","78,000 ",20%
237,13/04/2021,Men's Street Footwear,45.00 ,800,"3,60,000 ","1,44,000 ",40%
238,14/04/2021,Men's Athletic Footwear,50.00 ,650,"3,25,000 ","81,250 ",25%
239,15/04/2021,Women's Street Footwear,50.00 ,650,"3,25,000 ","1,30,000 ",40%
240,16/04/2021,Women's Athletic Footwear,45.00 ,550,"2,47,500 ","86,625 ",35%
241,17/04/2021,Men's Apparel,50.00 ,450,"2,25,000 ","1,23,750 ",55%
242,18/04/2021,Women's Apparel,65.00 ,625,"4,06,250 ","81,250 ",20%
243,19/04/2021,Men's Street Footwear,45.00 ,900,"4,05,000 ","1,62,000 ",40%
244,20/04/2021,Men's Athletic Footwear,50.00 ,750,"3,75,000 ","93,750 ",25%
245,21/04/2021,Women's Street Footwear,50.00 ,750,"3,75,000 ","1,50,000 ",40%
246,22/04/2021,Women's Athletic Footwear,45.00 ,625,"2,81,250 ","98,438 ",35%
247,23/04/2021,Men's Apparel,50.00 ,500,"2,50,000 ","1,37,500 ",55%
248,24/04/2021,Women's Apparel,65.00 ,800,"5,20,000 ","1,04,000 ",20%
249,25/04/2021,Men's Street Footwear,45.00 ,950,"4,27,500 ","1,71,000 ",40%
250,26/04/2021,Men's Athletic Footwear,50.00 ,800,"4,00,000 ","1,00,000 ",25%
251,27/04/2021,Women's Street Footwear,50.00 ,750,"3,75,000 ","1,50,000 ",40%
252,28/04/2021,Women's Athletic Footwear,45.00 ,650,"2,92,500 ","1,02,375 ",35%
253,29/04/2021,Men's Apparel,50.00 ,700,"3,50,000 ","1,92,500 ",55%
254,30/04/2021,Women's Apparel,65.00 ,700,"4,55,000 ","91,000 ",20%
255,01/05/2021,Men's Street Footwear,50.00 ,900,"4,50,000 ","1,80,000 ",40%
256,02/05/2021,Men's Athletic Footwear,55.00 ,850,"4,67,500 ","1,16,875 ",25%
257,03/05/2021,Women's Street Footwear,50.00 ,725,"3,62,500 ","1,45,000 ",40%
258,04/05/2021,Women's Athletic Footwear,50.00 ,675,"3,37,500 ","1,18,125 ",35%
259,05/05/2021,Men's Apparel,60.00 ,675,"4,05,000 ","2,22,750 ",55%
260,06/05/2021,Women's Apparel,65.00 ,650,"4,22,500 ","84,500 ",20%
261,07/05/2021,Men's Street Footwear,50.00 ,850,"4,25,000 ","1,70,000 ",40%
262,08/05/2021,Men's Athletic Footwear,55.00 ,850,"4,67,500 ","1,16,875 ",25%
263,09/05/2021,Women's Street Footwear,50.00 ,700,"3,50,000 ","1,40,000 ",40%
264,10/05/2021,Women's Athletic Footwear,50.00 ,650,"3,25,000 ","1,13,750 ",35%
265,11/05/2021,Men's Apparel,60.00 ,650,"3,90,000 ","2,14,500 ",55%
266,12/05/2021,Women's Apparel,65.00 ,700,"4,55,000 ","91,000 ",20%
267,13/05/2021,Men's Street Footwear,50.00 ,800,"4,00,000 ","1,60,000 ",40%
268,14/05/2021,Men's Athletic Footwear,55.00 ,800,"4,40,000 ","1,10,000 ",25%
269,15/05/2021,Women's Street Footwear,50.00 ,650,"3,25,000 ","1,30,000 ",40%
270,16/05/2021,Women's Athletic Footwear,50.00 ,625,"3,12,500 ","1,09,375 ",35%
271,17/05/2021,Men's Apparel,60.00 ,600,"3,60,000 ","1,98,000 ",55%
272,18/05/2021,Women's Apparel,65.00 ,650,"4,22,500 ","84,500 ",20%
273,19/05/2021,Men's Street Footwear,50.00 ,825,"4,12,500 ","1,65,000 ",40%
274,20/05/2021,Men's Athletic Footwear,55.00 ,825,"4,53,750 ","1,13,438 ",25%
275,21/05/2021,Women's Street Footwear,50.00 ,675,"3,37,500 ","1,35,000 ",40%
276,22/05/2021,Women's Athletic Footwear,50.00 ,650,"3,25,000 ","1,13,750 ",35%
277,23/05/2021,Men's Apparel,60.00 ,600,"3,60,000 ","1,98,000 ",55%
278,24/05/2021,Women's Apparel,65.00 ,700,"4,55,000 ","91,000 ",20%
279,25/05/2021,Men's Street Footwear,50.00 ,900,"4,50,000 ","1,80,000 ",40%
280,26/05/2021,Men's Athletic Footwear,55.00 ,900,"4,95,000 ","1,23,750 ",25%
281,27/05/2021,Women's Street Footwear,50.00 ,700,"3,50,000 ","1,40,000 ",40%
282,28/05/2021,Women's Athletic Footwear,50.00 ,700,"3,50,000 ","1,22,500 ",35%
283,29/05/2021,Men's Apparel,60.00 ,625,"3,75,000 ","2,06,250 ",55%
284,30/05/2021,Women's Apparel,65.00 ,725,"4,71,250 ","94,250 ",20%
285,31/05/2021,Men's Street Footwear,45.00 ,475,"2,13,750 ","85,500 ",40%
286,01/06/2021,Men's Athletic Footwear,45.00 ,275,"1,23,750 ","43,313 ",35%
287,02/06/2021,Women's Street Footwear,35.00 ,275,"96,250 ","33,688 ",35%
288,03/06/2021,Women's Athletic Footwear,40.00 ,125,"50,000 ","20,000 ",40%
289,04/06/2021,Men's Apparel,55.00 ,175,"96,250 ","33,688 ",35%
290,05/06/2021,Women's Apparel,45.00 ,275,"1,23,750 ","61,875 ",50%
291,06/06/2021,Men's Street Footwear,45.00 ,525,"2,36,250 ","94,500 ",40%
292,07/06/2021,Men's Athletic Footwear,45.00 ,175,"78,750 ","27,563 ",35%
293,08/06/2021,Women's Street Footwear,35.00 ,225,"78,750 ","27,563 ",35%
294,09/06/2021,Women's Athletic Footwear,40.00 ,100,"40,000 ","16,000 ",40%
295,10/06/2021,Men's Apparel,55.00 ,175,"96,250 ","33,688 ",35%
296,11/06/2021,Women's Apparel,45.00 ,275,"1,23,750 ","61,875 ",50%
297,12/06/2021,Men's Street Footwear,50.00 ,495,"2,47,500 ","99,000 ",40%
298,13/06/2021,Men's Athletic Footwear,50.00 ,200,"1,00,000 ","35,000 ",35%
299,14/06/2021,Women's Street Footwear,40.00 ,225,"90,000 ","31,500 ",35%
